day,phase,tiltx_11m_combined,tiltx_19m_combined,is_predicted
130,3,-0.8762199543194444,2.2603106647916666,0
131,3,-0.9528273240347223,2.3172019902430554,0
132,3,-0.9739289995763889,2.3074607948333337,0
133,3,-0.9896151638958334,2.3486068679375,0
134,3,-1.0191787849930556,2.384292327673611,0
135,3,-1.0063347804097222,2.3975031326041667,0
136,3,-0.9372669984375,2.294566947590278,0
137,3,-0.9140471510138889,2.321368078409722,0
138,3,-0.8837478752916667,2.294779292388889,0
139,3,-0.954044266326389,2.3723927140069443,0
140,3,-0.9336970482714286,2.2581558312500003,0
141,3,-0.88307514,2.2797924660694444,0
142,3,-0.8829386577569445,2.292388858097222,0
143,3,-0.9019739155902777,2.2478774984236107,0
144,3,-0.8828212912291666,2.2338850415694447,0
145,3,-0.872463576111111,2.2561396459861114,0
146,3,-0.8822122348888889,2.2986854661944442,0
147,3,-0.8714196657083333,2.2986022449583334,0
148,4,-0.8792191917638889,2.3048433595624997,0
149,4,-0.8779189561805556,2.2818354351875,0
150,4,-0.9028600296874999,2.3405805462152776,0
151,4,-0.9915440318125,2.337113271208333,0
152,4,-1.0182429519305556,2.291288938798611,0
153,4,-0.9880650283472223,2.258270844861111,0
154,4,-0.9954080534270834,2.2742815597361115,0
155,4,-0.9732294443125,2.2446811530208333,0
156,4,-0.9278508685277777,2.2522393829166667,0
157,4,-0.9214647909166666,2.246586915527778,0
158,4,-0.9086762108263888,2.252077713576389,0
159,4,-0.88982935125,2.294217035145833,0
160,4,-0.9238106496944444,2.4008888850416668,0
161,4,-0.9363819803819445,2.2894825620763886,0
162,4,-0.9405132817291667,2.291472731361111,0
163,4,-0.9639667193680554,2.2611489593819445,0
164,4,-0.9445591527152778,2.2453501588819447,0
165,4,-0.9110152297518248,2.2604476700547442,0
166,4,-0.8968277360659722,2.2888883443541665,0
167,4,-0.9408918072916665,2.279901766118056,0
168,4,-0.9626671529469026,2.2503223061061948,0
169,4,-0.9531867347291667,2.3077553543611113,0
170,4,-0.9609543598263889,2.3393483344583332,0
171,4,-0.96806947925,2.369542259298611,0
172,4,-1.0262111512569445,2.3996494743472225,0
173,4,-1.0706481391527778,2.3478431304375,0
174,4,-1.1285174143216783,2.3855735254965036,0
175,4,-1.1340522550972223,2.369858084451389,0
176,4,-1.1312776257638888,2.4188037879027777,0
177,4,-1.1346364973541665,2.414769922701389,0
178,4,-1.116380992048611,2.372359683111111,0
179,4,-1.0854429627222222,2.29596513675,0
180,4,-1.0356948429166666,2.2733310229097223,0
181,4,-1.0028374443333332,2.2732483132430557,0
182,4,-1.0052311722916665,2.286433847423611,0
183,4,-1.1035634850347222,2.3591451727916666,0
184,4,-1.0839520167222223,2.2635138531319448,0
185,4,-1.0660934796458335,2.2864938362222222,0
186,4,-1.0777471065902777,2.2559022820902777,0
187,4,-1.0493346403402777,2.2657529662083333,0
188,4,-1.0220360089444445,2.263570255694445,0
189,4,-1.0354782785833332,2.308861545375,0
190,4,-1.0520379266388888,2.299202306347222,0
191,4,-1.0335771867847223,2.293603958347222,0
192,4,-1.0240706267638888,2.2866609080069447,0
193,4,-1.0410840887847224,2.278427645534722,0
194,4,-1.0394732111666667,2.303511559993056,0
195,4,-1.0373436307638888,2.408676660756944,0
196,4,-1.062197533763889,2.3895968596041666,0
197,4,-1.0681015373402778,2.3856143984444445,0
198,4,-1.068883495986111,2.413466581048611,0
199,4,-1.1194466426805556,2.4344044973055556,0
200,4,-1.15493845525,2.388712728986111,0
201,4,-1.1175862699722223,2.316322007125,0
202,4,-1.1112981132291668,2.3538085305208334,0
203,4,-1.1155843908194445,2.3160823003749997,0
204,4,-1.1183550895833332,2.3067430241249998,0
205,4,-1.0892865583680555,2.312742297833333,0
206,4,-1.1026877355625,2.362985630840278,0
207,4,-1.151350710125,2.3311276137569443,0
208,4,-1.1955599158487105,2.4080482258725198,0
209,4,-1.163122924484623,2.37290254568998,0
210,4,-1.0988839972291666,2.393449023361111,0
211,4,-1.1120981193333332,2.416108480756945,0
212,4,-1.1708392857083334,2.4205803623263886,0
213,4,-1.2089239739444446,2.4664648390208335,0
214,4,-1.2139896742291667,2.4788689149791665,0
215,4,-1.1757972695625,2.4949873056458336,0
216,4,-1.1575331348402778,2.5221121261875,0
217,4,-1.1751957345208333,2.534009090708333,0
218,4,-1.2047928066944444,2.542595201069444,0
219,4,-1.2122497252222222,2.5551892833541667,0
220,4,-1.1992492899305556,2.5468737714375,0
221,4,-1.2230920840833333,2.5785482160902777,0
222,4,-1.2524751805486112,2.506754709611111,0
223,4,-1.2516181410694445,2.4617884142847224,0
224,4,-1.2651297168055555,2.4463704179027776,0
225,4,-1.2837831212083333,2.433133855479167,0
226,4,-1.2756478389236112,2.418333767152778,0
227,4,-1.2857159417222224,2.4045294010069447,0
228,4,-1.2417359807569444,2.3969931569444447,0
229,4,-1.2106180306944445,2.392227143006944,0
230,4,-1.1890198112430557,2.4098795784722222,0
231,4,-1.18052305775,2.393141635625,0
232,4,-1.1857463402847221,2.3917165928819446,0
233,4,-1.1868663214722224,2.396398024451389,0
234,4,-1.1778498074673394,2.405323752976951,1
235,4,-1.176216626677888,2.405980993323297,1
236,4,-1.1749730642750422,2.383463902833398,1
237,4,-1.1760728176786577,2.405916710231406,1
238,4,-1.1865000233762757,2.3803762538611286,1
239,4,-1.1757038673811326,2.3697983973682666,1
240,4,-1.2124012456521844,2.3848389237935987,1
241,4,-1.2149332754879834,2.355470976914421,1
242,4,-1.2396486865217582,2.363584222487715,1
243,4,-1.224168728280167,2.358685228269174,1
244,4,-1.2209344795838435,2.3656520583891716,1
245,4,-1.2263489865575237,2.3526147948063474,1
246,4,-1.2315681101477942,2.3434341538055454,1
247,4,-1.234767045499367,2.3528132120373204,1
248,4,-1.2422832070710945,2.3544871894167176,1
249,4,-1.22431321183469,2.3435733172420643,1
250,4,-1.208320595000297,2.3518972748035667,1
251,4,-1.188906915627668,2.363967281967091,1
252,4,-1.183217699121486,2.374249076884949,1
253,4,-1.2022045188896346,2.382889042194405,1
254,4,-1.2235283754238373,2.3591337591842834,1
255,4,-1.2322330611479264,2.351681548266683,1
256,4,-1.213907736779916,2.341023292812703,1
257,4,-1.230902847721623,2.332550884755652,1
258,4,-1.2393264078889623,2.35078077561959,1
259,4,-1.2287686340755246,2.352465202622735,1
260,4,-1.2045945644530665,2.3532653712687304,1
261,4,-1.1995755645540855,2.3564925330874424,1
262,4,-1.1954444847088201,2.361503407162247,1
263,4,-1.196069300884971,2.3596251882608326,1
264,4,-1.1869823184371135,2.354624124932426,1
265,4,-1.2110358569126776,2.374527591177275,1
266,4,-1.2363271861851453,2.3775595931562465,1
267,4,-1.239113385234383,2.368653816207148,1
268,4,-1.2144137990893673,2.373522673480396,1
269,4,-1.2144259998973672,2.373454130710544,1
270,4,-1.2098214190763503,2.3820895855517072,1
271,4,-1.195350554465981,2.3821357222951023,1
272,4,-1.1966324792424143,2.3880463700076784,1
273,4,-1.202216838232576,2.3696854977707273,1
