day,phase,tiltx_11m_meas,tiltx_19m_meas,net_udl_AB,net_udl_BC,expected_slope_11m,expected_slope_19m,residual_11m,residual_19m,slope_0.0m,slope_0.5m,slope_1.0m,slope_1.5m,slope_2.0m,slope_2.5m,slope_3.0m,slope_3.5m,slope_4.0m,slope_4.5m,slope_5.0m,slope_5.5m,slope_6.0m,slope_6.5m,slope_7.0m,slope_7.5m,slope_8.0m,slope_8.5m,slope_9.0m,slope_9.5m,slope_10.0m,slope_10.5m,slope_11.0m,slope_11.5m,slope_12.0m,slope_12.5m,slope_13.0m,slope_13.5m,slope_14.0m,slope_14.5m,slope_15.0m,slope_15.5m,slope_16.0m,slope_16.5m,slope_17.0m,slope_17.5m,slope_18.0m,slope_18.5m,slope_19.0m,slope_19.5m,slope_20.0m,slope_20.5m,slope_21.0m,slope_21.5m,slope_22.0m,slope_22.5m,slope_23.0m,slope_23.5m,slope_24.0m,slope_24.5m,slope_25.0m,slope_25.5m,slope_26.0m,slope_26.5m,slope_27.0m,slope_27.5m,slope_28.0m,slope_28.5m,slope_29.0m,slope_29.5m,slope_30.0m
222,4,-1.2524751805486112,2.506754709611111,9.40372403037864,10.029180892705014,-1.119838495428265,2.3604411437511117,-0.1326366851203462,0.14631356585999944,-0.0,0.4127475026807516,0.7400989703241059,0.9881541197184452,1.1630126676521615,1.2707743309136454,1.3175388262912855,1.3094058705734648,1.2524751805485608,1.1528464730049655,1.016619464731056,0.8498938725152139,0.6587694131458035,0.4493458034112193,0.2277227600998634,1.1592495919392907e-13,-0.22772276009964895,-0.44934580341103786,-0.658769413145654,-0.8498938725151085,-1.0166194647310156,-1.152846473004977,-1.2524751805486114,-1.30940587057354,-1.3175388262913919,-1.270774330913771,-1.1630126676522974,-0.9881541197185738,-0.7400989703242085,-0.41274750268081317,-0.0,0.671955549862197,1.228439916085297,1.6759585174658862,2.021016772800527,2.2701201008858005,2.4297739205182816,2.506483650494533,2.506754709611111,2.437092516664594,2.3040024904515373,2.113990049768498,1.8735606134120073,1.5892196001786483,1.2674724288650234,0.9148245182676897,0.5377812871831906,0.1428481544081102,-0.26346946126095855,-0.6746661410274455,-1.0842364660947823,-1.4856750176663713,-1.8724763769456558,-2.238135125136091,-2.5761458434411595,-2.8800031130642654,-3.143201515208868,-3.359235631078348,-3.5216000418761157,-3.6237893288055956,-3.6592980730702176
223,4,-1.2516181410694445,2.4617884142847224,9.39728928191385,9.849276928358575,-1.119838495428265,2.3604411437511117,-0.1317796456411795,0.1013472705336107,-0.0,0.4124650692160262,0.7395925379045983,0.9874779489605311,1.1622168452786497,1.2699047697537764,1.3166372652807334,1.3085098747543358,1.2516181410693938,1.1520576071207322,1.015923815803161,0.8493123100114934,0.6583186326405274,0.44903832658508963,0.2275669347400148,1.1584564572591344e-13,-0.22756693473980052,-0.4490383265849083,-0.6583186326403779,-0.8493123100113883,-1.0159238158031205,-1.152057607120744,-1.2516181410694445,-1.308509874754411,-1.3166372652808396,-1.269904769753902,-1.162216845278785,-0.9874779489606599,-0.7395925379047009,-0.4124650692160877,-0.0,0.6599019765367093,1.2064040974846073,1.6458950871022358,1.9847636696481126,2.2293985693807743,2.386188510558752,2.461522217440564,2.461788414284723,2.3933758253497617,2.2626731748941924,2.076069187176528,1.839952586455256,1.5607120969889148,1.2447364430360626,0.8984143488552115,0.5281345387048618,0.14028573684355272,-0.25874333247016723,-0.6625639449777724,-1.0647873764207387,-1.459024902540513,-1.8388877990785832,-2.197987341776448,-2.529934806375633,-2.8283414686175874,-3.0868186042438137,-3.2989774889957397,-3.4584293986148174,-3.558785608842518,-3.593657395420314
224,4,-1.2651297168055555,2.4463704179027776,9.498735706889947,9.787591644942239,-1.119838495428265,2.3604411437511117,-0.14529122137729056,0.08592927415166596,-0.0,0.41691774758360783,0.7475766508395723,0.998138055791293,1.17476330846218,1.2836137548756412,1.330850741055083,1.3226356130239056,1.2651297168055045,1.164494398423289,1.0268910039006545,0.8584808792609984,0.6654253705277039,0.4538858237241826,0.23002358487385444,1.1709605478644888e-13,-0.23002358487363786,-0.4538858237239993,-0.6654253705275527,-0.8584808792608921,-1.0268910039006134,-1.1644943984233007,-1.2651297168055557,-1.3226356130239818,-1.3308507410551904,-1.283613754875768,-1.1747633084623172,-0.9981380557914231,-0.747576650839676,-0.41691774758367006,-0.0,0.6557690599027519,1.198848479015428,1.6355869694952332,1.972333243499348,2.2154360131849717,2.371243990709298,2.446105888229509,2.4463704179027776,2.378386291886302,2.2485022223372564,2.063066921412817,1.8284291012701328,1.5509374740664064,1.236940751958858,0.8927876471046626,0.5248268716609832,0.13940713778502203,-0.25712284236600996,-0.6584143566349242,-1.058118692864534,-1.4498871388976236,-1.8273709825770181,-2.1842215117455526,-2.5140900142460905,-2.8106277779214186,-3.0674860906143757,-3.2783162401677273,-3.4367695144242627,-3.5364972012267915,-3.571150588418122
225,4,-1.2837831212083333,2.433133855479167,9.638787557780867,9.734633978827166,-1.119838495428265,2.3604411437511117,-0.1639446257800683,0.07269271172805514,-0.0,0.4230648922163408,0.7585991170775761,1.0128548651090676,1.1920843268361863,1.3025396927843018,1.3504731534787826,1.3421368994449903,1.2837831212082815,1.1816640092940276,1.0420317542275848,0.8711385465343131,0.6752365767395562,0.4605780353686873,0.2334151129470885,1.188223068780334e-13,-0.2334151129468687,-0.46057803536850134,-0.6752365767394028,-0.8711385465342053,-1.0420317542275435,-1.1816640092940396,-1.2837831212083335,-1.3421368994450675,-1.3504731534788919,-1.3025396927844306,-1.1920843268363253,-1.0128548651091995,-0.7585991170776815,-0.423064892216404,-0.0,0.6522208940022188,1.1923618764090482,1.626737308437147,1.9616615513031501,2.203448966223712,2.358413914415479,2.4328707570950874,2.4331338554791673,2.3655175707843683,2.2363362642273197,2.0519042970246515,1.8185360303929694,1.542545825548928,1.2302480437092023,0.887957046090422,0.5219871939092042,0.13865284838220532,-0.25573162927390936,-0.6548518778424972,-1.0523935361069168,-1.4420422428504989,-1.8174836368566134,-2.1724033569086423,-2.5004870417899925,-2.7954203302839984,-3.0508888611740432,-3.260578273243439,-3.418174205275521,-3.5173622960536437,-3.5518281843611623
226,4,-1.2756478389236112,2.418333767152778,9.577706946601614,9.675420860573407,-1.119838495428265,2.3604411437511117,-0.15580934349534625,0.05789262340166612,-0.0,0.42038394691796677,0.7537919048184227,1.0064364443454725,1.1845301361432308,1.2942855508558102,1.3419152591273225,1.3336318316018725,1.2756478389235597,1.1741758517364995,1.0354284406847907,0.8656181764125368,0.6709576295638249,0.4576593707827717,0.23193597071350192,1.1806943904992043e-13,-0.23193597071328353,-0.4576593707825869,-0.6709576295636726,-0.8656181764124297,-1.0354284406847494,-1.174175851736511,-1.2756478389236112,-1.333631831601949,-1.3419152591274308,-1.294285550855938,-1.1845301361433689,-1.0064364443456035,-0.7537919048185272,-0.4203839469180295,-0.0,0.6482536125401605,1.1851090649584437,1.6168423099377895,1.9497293001611142,2.190045988311352,2.3440683270714318,2.4180722691242704,2.418333767152778,2.3511287738398865,2.2227332418685055,2.039423123921546,1.807474372681895,1.5331629408324885,1.2227647810562818,0.8825558460361859,0.5188120884550989,0.13780946099595814,-0.2541760836582902,-0.6508685928247224,-1.0459921138204162,-1.4332706939624216,-1.8064283805678272,-2.1591892209537336,-2.4852772624372674,-2.778416552335481,-3.032331137965478,-3.2407450666442874,-3.3973823856889656,-3.4959671424165855,-3.5302233841442208
227,4,-1.2857159417222224,2.4045294010069447,9.653299390825659,9.620191489843643,-1.119838495428265,2.3604411437511117,-0.1658774462939574,0.044088257255832985,-0.0,0.4237018444311451,0.7597412382903286,1.0143797851898304,1.1938790887419402,1.3045007525589456,1.3525063802531332,1.3441575754367832,1.2857159417221704,1.1834430827215845,1.0436006020473,0.872450103311595,0.6762531901267316,0.4612714661050015,0.23376653485870486,1.1900117693213793e-13,-0.23376653485848473,-0.4612714661048153,-0.676253190126578,-0.872450103311487,-1.0436006020472584,-1.1834430827215965,-1.2857159417222224,-1.3441575754368607,-1.3525063802532424,-1.3045007525590746,-1.1938790887420794,-1.0143797851899627,-0.759741238290434,-0.4237018444312083,-0.0,0.6445532423330326,1.1783442090573937,1.6076130283764054,1.9385998284933668,2.177544737611596,2.3306878839344027,2.404269395665088,2.4045294010069447,2.3377080281632874,2.2100454053374077,2.0277816607326007,1.797156922552136,1.524411318999332,1.2157849782775265,0.8775180285900139,0.5158505981400748,0.13702281513102946,-0.2527251922337934,-0.6471532957510874,-1.0400213672175473,-1.4250892784298401,-1.7961169011846725,-2.1468641072787613,-2.4710907685088506,-2.7625567566716103,-3.01502194356376,-3.2222462009819473,-3.3779894007228455,-3.4760114145831444,-3.510072114359536
228,4,-1.2417359807569444,2.3969931569444447,9.323092914715573,9.590040013648307,-1.119838495428265,2.3604411437511117,-0.12189748532867939,0.03655201319333301,-0.0,0.4092084482039527,0.7337530795381215,0.9796813094932024,1.1530405535599004,1.2598782272289193,1.3062417459909617,1.2981785253367228,1.2417359807568942,1.1429615277421812,1.007902581783274,0.8426065583708676,0.65312087299564,0.4454929411482989,0.2257701783195593,1.149311156197476e-13,-0.22577017831934673,-0.445492941148119,-0.6531208729954918,-0.8426065583707634,-1.007902581783234,-1.1429615277421927,-1.2417359807569444,-1.2981785253367975,-1.306241745991067,-1.259878227229044,-1.153040553560035,-0.9796813094933299,-0.7337530795382232,-0.40920844820401364,-0.0,0.6425330921350508,1.1746510583122327,1.6025744690080626,1.9325238946990335,2.1707199058616573,2.3233830729724385,2.3967339665078717,2.3969931569444447,2.330381214758666,2.2031187104270216,2.021426214426,1.7915242972320662,1.519633529321732,1.21197448117153,0.8747677232579483,0.5142338260574618,0.13659336004658518,-0.2519331042981589,-0.6451249965002698,-1.0367617460832481,-1.4206227825705666,-1.7904875354857377,-2.1401354343522847,-2.463345908693756,-2.753898388033628,-3.005572301895426,-3.212147079802604,-3.367402151278641,-3.4651169458470314,-3.499070893031275
229,4,-1.2106180306944445,2.392227143006944,9.089455858011044,9.570971847252498,-1.119838495428265,2.3604411437511117,-0.09077953526617955,0.031785999255832476,-0.0,0.3989536692060845,0.7153651999557371,0.9551304592815573,1.1241453142161535,1.228305631792133,1.273507279042101,1.2656461229986569,1.2106180306943957,1.114318869161926,0.9826445054338416,0.8214908065427409,0.6367536395212059,0.4343288714018474,0.22011236921728378,1.1205135033823076e-13,-0.22011236921707653,-0.43432887140167203,-0.6367536395210613,-0.8214908065426392,-0.9826445054338024,-1.114318869161937,-1.2106180306944447,-1.2656461229987297,-1.2735072790422037,-1.2283056317922545,-1.124145314216285,-0.9551304592816818,-0.7153651999558364,-0.3989536692061439,-0.0,0.6412555241688891,1.172315464111892,1.5993880217572447,1.92868139903316,2.166403797867868,2.3187634201895935,2.3919684679265503,2.3922271430069446,2.3257476473590044,2.198738182910936,2.017406951590947,1.7879621553272211,1.51661199604799,1.2095646756815046,0.8730283961559729,0.5132113593995895,0.13632176734058768,-0.2514321780927903,-0.6438422749723244,-1.034700321369796,-1.4177981153569592,-1.7869274550056065,-2.1358801383875416,-2.4584479635745944,-2.748422728638521,-2.999596231651129,-3.205760270684152,-3.360706643809349,-3.458227149098497,-3.492113584623375
230,4,-1.1890198112430557,2.4098795784722222,8.927294005686392,9.641596814186553,-1.119838495428265,2.3604411437511117,-0.0691813158147907,0.049438434721110536,-0.0,0.3918360741596048,0.7026026157344631,0.9380903056234828,1.1040898247255804,1.2063918539396707,1.2507870741646678,1.243066166299479,1.1890198112430075,1.0944386898941703,0.9651134831518694,0.8068348719150111,0.6253935370824865,0.42658015955321416,0.21618542022612017,1.1005257463501868e-13,-0.2161854202259166,-0.42658015955304185,-0.6253935370823446,-0.8068348719149113,-0.9651134831518311,-1.0944386898941814,-1.1890198112430557,-1.2430661662995506,-1.2507870741647686,-1.2063918539397902,-1.1040898247257092,-0.9380903056236052,-0.7026026157345606,-0.3918360741596631,-0.0,0.6459873999818672,1.1809660737062513,1.6111900339200695,1.9429132933702167,2.1823898648036044,2.335873760967139,2.409618994607716,2.4098795784722222,2.3429095253075682,2.214962847860641,2.03229355887833,1.8011556711074994,1.5278031972950636,1.218490150187955,0.8794705425330628,0.5169983870772628,0.13732769656747018,-0.2532875162493912,-0.6485932386264199,-1.0423354578167157,-1.4282601610733507,-1.8001133356494363,-2.151640968798095,-2.476589047772475,-2.7687035598256515,-3.021730492210749,-3.2294158321808215,-3.3855055669889453,-3.4837456838882157,-3.51788217013173
231,4,-1.18052305775,2.393141635625,8.863499428162028,9.574630606466696,-1.119838495428265,2.3604411437511117,-0.060684562321735136,0.03270049187388846,-0.0,0.3890360076675754,0.6975818068522036,0.9313866981598066,1.096199982196315,1.197770959567659,1.2418489308797658,1.234183196738558,1.1805230577499526,1.0866178145198806,0.9582167676542592,0.8010692177590086,0.6209244654400345,0.4235318113032697,0.21464055595465473,1.0926625498138585e-13,-0.2146405559544526,-0.4235318113030987,-0.6209244654398935,-0.8010692177589094,-0.958216767654221,-1.0866178145198915,-1.1805230577500003,-1.2341831967386292,-1.2418489308798664,-1.1977709595677777,-1.0961999821964432,-0.9313866981599278,-0.6975818068523003,-0.38903600766763335,-0.0,0.641500661193128,1.1727636129597543,1.5999994304788536,1.9294186889293778,2.167231963490296,2.3196498293405723,2.392882861659159,2.393141635625,2.3266367264170644,2.1995787092142964,2.0181781591956427,1.7886456515400242,1.5171917614264134,1.2100270640338002,0.8733621345411308,0.5134075481273386,0.13637387997139605,-0.2515282947477157,-0.6440884008510378,-1.0350958631596128,-1.4183401064944556,-1.7876105556766198,-2.1366966355271706,-2.4593877708671985,-2.7494733865177214,-3.000742907299807,-3.206985758034451,-3.3619913635426735,-3.459549148645512,-3.4934485381640057
